text_id	sp_code	lang	sentence	(word)	(rus)	gloss	form	p	atr	ep	clause	seq_nr	comment
t8	mish4	Tsakhur	0	a=w=q-u	ловить	3=v-pf	aorist	pst	naf		NA	68	title
b11	kvan5	Bagvalal	1			f=v	preterite	pst	NA	NA	first	6	
b12	kvan10	Bagvalal	1			hpl=v=hpl=comit hpl=v=hpl	preterite	pst	NA	NA	first	7	comitative construction
b13	kvan5	Bagvalal	1			n=v-ipf-part=n	participle	other	NA	NA	dependent	8	
b13	kvan5	Bagvalal	1			n=v=n=conv cop	perfect	pf	NA	NA	first	8	
b15	kvan9	Bagvalal	1			v=f=conv	converb	other	NA	NA	dependent	14	
b15	kvan9	Bagvalal	1			f=v=f=conv	converb	other	NA	NA	dependent	14	
b15	kvan9	Bagvalal	1			f=v-pot.inf	infinitive	other	NA	NA	dependent	14	
b15	kvan9	Bagvalal	1			f=v=f=conv cop	perfect	pf	NA	NA	first	14	
b15	kvan9	Bagvalal	1			f=v=f=conv cop	perfect	pf	NA	NA	main line	14	
b16	kvan13	Bagvalal	1			n=v=m=conv	converb	other	NA	NA	dependent	18	
b16	kvan13	Bagvalal	1			n=v-pot.inf	infinitive	other	NA	NA	dependent	18	
b16	kvan13	Bagvalal	1			m=v=m=conv cop	perfect	pf	NA	NA	first	18	
b17	kvan13	Bagvalal	1			v-pot.inf	infinitive	other	NA	NA	dependent	19	
b17	kvan13	Bagvalal	1			hpl=v=hpl=conv cop	perfect	pf	NA	NA	first	19	
b18	kvan5	Bagvalal	1			n=v-neg-part=f	participle	other	NA	NA	dependent	20	
b18	kvan5	Bagvalal	1			v=n=conv cop	perfect	pf	NA	NA	first	20	
b18	kvan5	Bagvalal	1			v-ipf-part=n=temp	sconverb	other	NA	NA	dependent	20	
b21	kvan4	Bagvalal	1			v-pot.inf	infinitive	other	NA	NA	dependent	25	
b21	kvan4	Bagvalal	1			v=n=conv cop	perfect	pf	NA	NA	first	25	
b21	kvan4	Bagvalal	1			v-v-part=n=temp	sconverb	other	NA	NA	dependent	25	
b24	kvan5	Bagvalal	1			v=m=conv	converb	other	NA	NA	dependent	40	
b24	kvan5	Bagvalal	1			m=v=m=conv cop	perfect	pf	NA	NA	first	40	
